environment,Reptilia,Synapsida,Temnospondyli
terrestrial indet.,1578.0,2190.0,1177.0
marine indet.,419.0,15.0,42.0
fluvial-lacustrine indet.,292.0,71.0,64.0
fissure fill,265.0,16.0,23.0
"""floodplain""",223.0,130.0,31.0
fluvial indet.,148.0,174.0,329.0
carbonate indet.,99.0,1.0,1.0
lagoonal/restricted shallow subtidal,89.0,2.0,1.0
offshore,89.0,,
lacustrine indet.,84.0,28.0,58.0
lacustrine - large,84.0,1.0,18.0
"""channel""",83.0,10.0,175.0
fine channel fill,73.0,26.0,19.0
crevasse splay,66.0,142.0,23.0
dry floodplain,59.0,25.0,7.0
shallow subtidal indet.,56.0,4.0,3.0
paralic indet.,47.0,,1.0
wet floodplain,41.0,57.0,7.0
lacustrine - small,40.0,6.0,16.0
coastal indet.,40.0,16.0,19.0
basinal (carbonate),34.0,,
peritidal,31.0,,1.0
coarse channel fill,29.0,12.0,5.0
deltaic indet.,27.0,43.0,68.0
estuary/bay,26.0,2.0,39.0
marginal marine indet.,22.0,9.0,1.0
delta plain,19.0,39.0,24.0
fluvial-deltaic indet.,18.0,13.0,15.0
open shallow subtidal,16.0,,
karst indet.,15.0,,
alluvial fan,13.0,3.0,2.0
pond,13.0,1.0,13.0
offshore indet.,12.0,1.0,2.0
deep-water indet.,12.0,,
channel lag,12.0,1.0,2.0
lacustrine delta plain,9.0,1.0,2.0
deep subtidal shelf,9.0,,
"reef, buildup or bioherm",4.0,,
lacustrine deltaic indet.,3.0,1.0,1.0
transition zone/lower shoreface,3.0,,
basinal (siliciclastic),3.0,,
interdune,2.0,,
lagoonal,2.0,,4.0
foreshore,1.0,,
eolian indet.,1.0,,
deep subtidal ramp,1.0,,
perireef or subreef,1.0,,
mire/swamp,,5.0,17.0
prodelta,,,4.0
offshore ramp,,,1.0
